rank,model,category,accuracy,precision,recall,f1_score,training_time
1,SVM (RBF),Traditional ML,0.9542056074766355,0.9552829488781497,0.9542056074766355,0.9543025025148266,39.42623996734619
2,XLM-RoBERTa,Transformer,0.95,0.9501944444444445,0.95,0.9500520011143095,262.81275820732117
3,MuRIL,Transformer,0.95,0.9500069893412547,0.95,0.9498750000000001,264.83125472068787
4,BERT (Multilingual),Transformer,0.94,0.942666338636488,0.94,0.940392930263816,264.5364091396332
5,Logistic Regression,Traditional ML,0.9373831775700935,0.9385211429992693,0.9373831775700935,0.9375437817904632,1.4037973880767822
6,XGBoost,Ensemble Learning,0.9242990654205607,0.926380279468858,0.9242990654205607,0.9245532498591863,7.954556226730347
7,Naive Bayes,Traditional ML,0.9177570093457944,0.9210024639427338,0.9177570093457944,0.9182036756162171,1.109503984451294
8,Random Forest,Traditional ML,0.8757009345794392,0.8817193511596206,0.8757009345794392,0.8763657923132968,1.6768438816070557
9,CNN,Deep Learning,0.8411214953271028,0.853581055112472,0.8411214953271028,0.8426781933628328,2.4638938903808594
10,Bi-LSTM,Deep Learning,0.8383177570093457,0.8633496117330173,0.8383177570093457,0.8397193282837968,2.114468574523926
11,LSTM,Deep Learning,0.4224299065420561,0.17844702594113024,0.4224299065420561,0.25090449113930274,1.958266258239746
12,GRU,Deep Learning,0.4224299065420561,0.17844702594113024,0.4224299065420561,0.25090449113930274,1.595968246459961
13,CNN-LSTM,Deep Learning,0.4224299065420561,0.17844702594113024,0.4224299065420561,0.25090449113930274,2.059535026550293
